Pokemon HP Attack Defense Speed Special Total Type
Onix 35 45 160 70 30 340 Rock Ground
Drowzee 60 48 45 42 90 285 Psychic None
Hypno 85 73 70 67 115 410 Psychic None
Krabby 30 105 90 50 25 300 Water None
Kingler 55 130 115 75 50 425 Water None
Voltorb 40 30 50 100 55 275 Electric None
Electrode 60 50 70 140 80 400 Electric None
Exeggcute 60 40 80 40 60 280 Grass Psychic
Exeggutor 95 95 85 55 125 455 Grass Psychic
Cubone 50 50 95 35 40 270 Ground None
Marowak 60 80 110 45 50 345 Ground None
Hitmonlee 50 120 53 87 35 345 Fighting None
Hitmonchan 50 105 79 76 35 345 Fighting None
Lickitung 90 55 75 30 60 310 Normal None
Koffing 40 65 95 35 60 295 Poison None
Weezing 65 90 120 60 85 420 Poison None
Rhyhorn 80 85 95 25 30 315 Ground Rock
Rhydon 105 130 120 40 45 440 Ground Rock
Chansey 250 5 5 50 105 415 Normal None
Tangela 65 55 115 60 100 395 Grass None
Kangaskhan 105 95 80 90 40 410 Normal None
Horsea 30 40 70 60 70 270 Water None
Seadra 55 65 95 85 95 395 Water None
Goldeen 45 67 60 63 50 285 Water None
Seaking 80 92 65 68 80 385 Water None
Staryu 30 45 55 85 70 285 Water None
Starmie 60 75 85 115 100 435 Water Psychic
Mr. Mime 40 45 65 90 100 340 Psychic Fairy
Scyther 70 110 80 105 55 420 Bug Flying
Jynx 65 50 35 95 95 340 Ice Psychic
Electabuzz 65 83 57 105 85 395 Electric None
Magmar 65 95 57 93 85 395 Fire None
Pinsir 65 125 100 85 55 430 Bug None
Tauros 75 100 95 110 70 450 Normal None
Magikarp 20 10 55 80 20 185 Water None
Gyarados 95 125 79 81 100 480 Water Flying
Lapras 130 85 80 60 95 450 Water Ice
Ditto 48 48 48 48 48 240 Normal None
Eevee 55 55 50 55 65 280 Normal None
Vaporeon 130 65 60 65 110 430 Water None
Jolteon 65 65 60 130 110 430 Electric None
Flareon 65 130 60 65 110 430 Fire None
Porygon 65 60 70 40 75 310 Normal None
Omanyte 35 40 100 35 90 300 Rock Water
Omastar 70 60 125 55 115 425 Rock Water
Kabuto 30 80 90 55 45 300 Rock Water
Kabutops 60 115 105 80 70 430 Rock Water
Aerodactyl 80 105 65 130 60 440 Rock Flying
Snorlax 160 110 65 30 65 430 Normal None
Articuno 90 85 100 85 125 485 Ice Flying
Zapdos 90 90 85 100 125 490 Electric Flying
Moltres 90 100 90 90 125 495 Fire Flying
Dratini 41 64 45 50 50 250 Dragon None
Dragonair 61 84 65 70 70 350 Dragon None
Dragonite 91 134 95 80 100 500 Dragon Flying
Mewtwo 106 110 90 130 154 590 Psychic None
Mew 100 100 100 100 100 500 Psychic None
